2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
74   NIFTY BANK.NSE_IDX  03/01/2024  10:19:59  47570.20  47574.10  47546.65  47555.15       0              0 2024-03-01 10:19:59  47560.375   27.45  19.460         47618.755         47501.995
75   NIFTY BANK.NSE_IDX  03/01/2024  10:20:59  47548.80  47552.45  47534.00  47535.75       0              0 2024-03-01 10:20:59  47543.225   21.15  18.585         47598.980         47487.470
76   NIFTY BANK.NSE_IDX  03/01/2024  10:21:59  47536.60  47558.95  47536.60  47538.10       0              0 2024-03-01 10:21:59  47547.775   23.20  19.075         47605.000         47490.550
77   NIFTY BANK.NSE_IDX  03/01/2024  10:22:59  47542.30  47554.80  47533.20  47544.95       0              0 2024-03-01 10:22:59  47544.000   21.60  19.380         47602.140         47485.860
78   NIFTY BANK.NSE_IDX  03/01/2024  10:23:59  47541.95  47551.30  47535.95  47540.95       0              0 2024-03-01 10:23:59  47543.625   15.35  19.655         47602.590         47484.660
79   NIFTY BANK.NSE_IDX  03/01/2024  10:24:59  47547.35  47557.00  47532.85  47552.40       0              0 2024-03-01 10:24:59  47544.925   24.15  20.600         47606.725         47483.125
80   NIFTY BANK.NSE_IDX  03/01/2024  10:25:59  47553.95  47574.00  47553.30  47570.80       0              0 2024-03-01 10:25:59  47563.650   21.60  20.875         47626.275         47501.025
81   NIFTY BANK.NSE_IDX  03/01/2024  10:26:59  47569.95  47576.80  47562.95  47574.15       0              0 2024-03-01 10:26:59  47569.875   13.85  20.415         47631.120         47508.630
82   NIFTY BANK.NSE_IDX  03/01/2024  10:27:59  47574.95  47583.80  47565.70  47580.60       0              0 2024-03-01 10:27:59  47574.750   18.10  20.055         47634.915         47514.585
83   NIFTY BANK.NSE_IDX  03/01/2024  10:28:59  47581.05  47609.15  47581.05  47608.70       0              0 2024-03-01 10:28:59  47595.100   28.55  21.500         47659.600         47530.600
84   NIFTY BANK.NSE_IDX  03/01/2024  10:29:59  47616.85  47628.80  47587.50  47592.30       0              0 2024-03-01 10:29:59  47608.150   41.30  22.885         47676.805         47539.495
85   NIFTY BANK.NSE_IDX  03/01/2024  10:30:59  47590.10  47615.45  47586.20  47615.45       0              0 2024-03-01 10:30:59  47600.825   29.25  23.695         47671.910         47529.740
86   NIFTY BANK.NSE_IDX  03/01/2024  10:31:59  47612.95  47642.70  47603.80  47627.45       0              0 2024-03-01 10:31:59  47623.250   38.90  25.265         47699.045         47547.455
87   NIFTY BANK.NSE_IDX  03/01/2024  10:32:59  47626.75  47654.25  47626.75  47639.65       0              0 2024-03-01 10:32:59  47640.500   27.50  25.855         47718.065         47562.935
88   NIFTY BANK.NSE_IDX  03/01/2024  10:33:59  47635.55  47652.70  47624.35  47643.70       0              0 2024-03-01 10:33:59  47638.525   28.35  27.155         47719.990         47557.060
89   NIFTY BANK.NSE_IDX  03/01/2024  10:34:59  47641.25  47650.25  47623.40  47646.75       0              0 2024-03-01 10:34:59  47636.825   26.85  27.425         47719.100         47554.550
90   NIFTY BANK.NSE_IDX  03/01/2024  10:35:59  47654.05  47654.05  47628.35  47632.20       0              0 2024-03-01 10:35:59  47641.200   25.70  27.835         47724.705         47557.695
91   NIFTY BANK.NSE_IDX  03/01/2024  10:36:59  47629.90  47675.55  47628.85  47670.40       0              0 2024-03-01 10:36:59  47652.200   46.70  31.120         47745.560         47558.840
92   NIFTY BANK.NSE_IDX  03/01/2024  10:37:59  47675.20  47675.20  47647.95  47653.90       0              0 2024-03-01 10:37:59  47661.575   27.25  32.035         47757.680         47565.470
93   NIFTY BANK.NSE_IDX  03/01/2024  10:38:59  47653.15  47664.35  47640.80  47655.90       0              0 2024-03-01 10:38:59  47652.575   23.55  31.535         47747.180         47557.970
